Time,LeftPupilDiameter,RightPupilDiameter
0,4.880589,4.974536
10.004638671875,4.879716,4.847693
20.00927734375,4.875624,5.115058
30.01416015625,4.872477,4.811601
40.0185546875,4.871204,4.792662
50.015869140625,4.870588,4.958526
60.019775390625,4.868266,4.960657
70.023681640625,4.866336,4.959379
80.027587890625,4.864505,4.924914
90.0321044921875,4.863177,4.888808
100.036865234375,4.861165,5.034531
110.04150390625,4.859646,4.73395
120.045654296875,4.858108,5.090015
130.042602539063,4.856681,5.019027
140.04638671875,4.856492,4.919752
150.050170898438,4.860722,4.899494
160.053955078125,4.887148,4.923847
180.062744140625,4.766868,4.37631
210.06787109375,4.692649,4.346225
220.071533203125,4.691936,4.257137
230.075073242188,4.688218,4.520328
240.078857421875,4.682722,4.164757
250.082885742188,4.681832,4.121212
260.087280273438,4.681407,4.497132
300.095581054688,4.668219,4.564624
320.102905273438,4.863673,4.324379
330.106811523438,4.88179,4.997869
340.111083984375,4.883967,4.826882
350.115356445313,4.885629,4.970227
360.119384765625,4.878613,5.092595
370.115234375,4.864092,5.129674
380.118774414063,4.863639,4.981009
390.122192382813,4.867341,5.12219
400.125854492188,4.876808,5.03662
410.129516601563,4.876306,4.892024
420.133422851563,4.862035,4.866689
430.137573242188,4.842821,4.866717
440.1416015625,4.822207,4.867065
450.13720703125,4.811522,4.928405
460.140747070313,4.806402,4.92307
470.144287109375,4.805619,4.98365
480.147827148438,4.810511,4.797731
490.151489257813,4.814894,4.909843
500.155639648438,4.815991,4.938744
510.159545898438,4.81541,4.94408
520.1669921875,4.806224,4.93758
530.170654296875,4.800863,4.817372
540.174194335938,4.79983,4.810603
550.177490234375,4.800398,4.906538
560.180908203125,4.803738,4.806893
570.184448242188,4.80622,4.781753
580.188232421875,4.808198,4.932328
590.192016601563,4.809921,4.81433
600.195678710938,4.809993,4.765331
610.199096679688,4.803643,4.821929
620.20263671875,4.810031,4.883441
630.205932617188,4.823509,4.887684
640.209106445313,4.830612,4.868811
650.212524414063,4.833415,4.88239
660.21630859375,4.833972,4.885537
670.219970703125,4.833334,4.888445
680.223754882813,4.83248,4.900273
690.227294921875,4.834226,4.910251
700.230590820313,4.838849,4.912311
710.23388671875,4.842223,4.872293
720.237182617188,4.843018,4.867301
730.240478515625,4.843125,4.87065
740.243896484375,4.84363,4.939053
750.24755859375,4.84505,4.94639
760.2509765625,4.847337,4.976301
770.2578125,4.850264,5.020344
780.260864257813,4.852705,5.051182
790.263916015625,4.854794,5.066108
800.26708984375,4.85504,5.069473
810.27001953125,4.880528,4.975739
820.2734375,4.896336,4.812811
830.276733398438,4.866307,4.666481
840.280029296875,4.860218,4.642485
880.295776367188,4.871218,4.961761
890.298828125,4.875952,5.430231
900.302001953125,4.882267,4.777396
910.305419921875,4.880765,4.693824
920.30859375,4.86315,5.387442
940.318359375,4.834378,4.626898
970.327270507813,4.887141,4.831173
980.330444335938,4.885705,4.832607
990.33349609375,4.684177,4.709375
1000.33679199219,4.819171,4.539633
1010.3466796875,4.836716,4.629298
1020.349609375,4.849265,4.752888
1030.35607910156,4.848513,4.775034
1040.35888671875,4.843733,4.764881
1050.36169433594,4.820782,4.809809
1060.36462402344,4.801896,4.824872
1070.36755371094,4.775371,4.795229
1080.37048339844,4.784898,4.745665
1090.40991210938,4.780858,4.805863
1100.41271972656,4.787518,4.828827
1110.41564941406,4.782534,4.859116
1120.41833496094,4.73959,4.762744
1130.42102050781,4.724313,4.75487
1140.423828125,4.722678,4.752135
1150.42663574219,4.709001,4.751
1160.42932128906,4.706746,4.763506
1170.43884277344,4.71139,4.82841
1180.44152832031,4.717487,4.826919
1190.44421386719,4.718135,4.830824
1200.44677734375,4.715084,4.837886
1210.44946289063,4.700144,4.839999
1220.45202636719,4.697165,4.83729
1230.45458984375,4.685722,4.830628
1240.45727539063,4.66824,4.820927
1250.466796875,5.088843,4.816152
1260.46923828125,4.44317,5.141801
1270.47180175781,4.481584,4.566666
1280.47424316406,4.541765,5.028915
1290.47668457031,4.520397,5.032974
1300.47912597656,4.48138,4.746622
1310.48156738281,4.473654,4.935886
1320.48388671875,4.46851,4.961392
1330.4931640625,4.461731,4.940346
1340.4990234375,4.456404,4.63807
1350.50134277344,4.45647,4.662197
1360.50366210938,4.452499,4.935941
1370.50598144531,4.437402,4.490903
1380.50830078125,4.433494,4.527575
1390.51049804688,4.441018,4.521983
1400.5126953125,4.441317,4.523169
1410.52185058594,4.441873,4.395328
1420.52416992188,4.440871,4.366169
1430.5263671875,4.441383,4.413783
1440.52856445313,4.463193,4.465808
1450.53076171875,4.467097,4.490024
1460.53295898438,4.467485,4.674152
1470.53515625,4.402746,5.186404
1480.54064941406,4.446536,4.63228
1490.54956054688,4.446349,4.980824
1500.5517578125,4.444325,4.602443
1510.55395507813,4.446749,5.330551
1520.55603027344,4.452766,4.670262
1530.55822753906,4.453063,4.629245
1540.56030273438,4.453216,4.434208
1550.56237792969,4.438413,4.959337
1560.56774902344,4.424005,4.976502
1570.57678222656,4.41928,4.301973
1580.58557128906,4.420513,4.278889
1590.58776855469,4.433125,4.306314
1600.58984375,4.438112,4.717581
1610.59191894531,4.446109,4.428809
1620.59399414063,4.448178,4.665846
1630.59594726563,4.44928,3.242569
1640.60131835938,4.457428,4.606978
1650.60998535156,4.476213,4.649749
1660.61535644531,4.481322,4.54739
1670.61743164063,4.477089,4.538659
1680.61950683594,4.471319,4.460404
1690.62158203125,4.470156,4.604723
1700.62353515625,4.47409,4.434405
1710.62536621094,4.479607,4.624196
1720.63061523438,4.48841,4.484923
1730.63916015625,4.507679,4.478711
1740.64428710938,4.514986,4.477884
1750.64965820313,4.525758,4.377826
1760.65161132813,4.527403,4.351774
1770.65356445313,4.674812,4.769239
1780.65551757813,4.662885,4.530361
1810.67053222656,4.620102,4.355464
1820.67565917969,4.616466,4.348886
1830.68090820313,4.604247,4.530807
1840.68273925781,4.602353,4.57162
1850.6845703125,4.597932,4.548101
1860.68627929688,4.574685,4.495394
1870.68798828125,4.574338,4.490963
1880.69287109375,4.576729,4.497697
1890.70104980469,4.583002,5.194279
1900.70593261719,4.598502,4.641501
1910.70751953125,4.625005,4.401841
1920.70910644531,4.637713,4.53361
1930.71081542969,4.647088,4.576404
1940.71240234375,4.650109,4.545063
1950.7138671875,4.647732,4.664212
1960.72192382813,4.64399,4.635052
1970.72998046875,4.63775,4.617539
1980.73461914063,4.637376,4.555718
1990.73608398438,4.638451,4.554673
2000.73767089844,4.649453,4.78988
2010.7392578125,4.672219,4.536828
2020.74084472656,4.71088,4.517675
2030.7421875,4.720558,5.154178
2040.75036621094,4.724986,4.356344
2050.75830078125,4.630907,4.357594
2060.7626953125,4.78265,4.392241
2070.76416015625,4.802853,4.471329
2080.765625,4.803432,4.551292
2090.76708984375,4.802029,4.570553
2100.76843261719,4.800067,4.582951
2110.76977539063,4.796919,4.581686
2120.77758789063,4.796803,4.62219
2130.78540039063,4.796008,5.179312
2140.78955078125,4.796069,5.019062
2150.79089355469,4.797396,4.803728
2160.79223632813,4.799322,4.702406
2170.79370117188,4.811467,4.719116
2180.794921875,4.829441,4.695752
2190.79638671875,4.840507,4.629533
2200.80407714844,4.845548,4.655296
2210.81176757813,5.264851,4.659935
2220.81591796875,5.028049,4.654769
2230.81713867188,5.051238,4.673417
2240.81848144531,5.006604,4.56684
2250.81994628906,4.965267,4.547548
2260.82141113281,4.944036,4.577232
2270.82263183594,4.948779,4.593334
2280.83032226563,4.948971,4.602576
2290.837890625,4.94782,4.651878
2300.84191894531,4.949916,4.65729
2310.84301757813,4.930377,4.659276
2320.84423828125,4.92665,4.858597
2330.845703125,4.929265,4.747125
2340.84692382813,4.936095,4.696529
2350.84826660156,4.947261,4.667045
2360.85595703125,4.961527,4.637798
2370.86328125,4.9658,4.620588
2380.87072753906,4.971491,4.613543
2390.87170410156,4.978598,4.618341
2400.87292480469,4.984893,4.620707
2410.87426757813,4.993513,4.617093
2420.87548828125,4.998757,4.684635
2430.87683105469,5.000071,4.666743
2440.88427734375,5.005365,4.666219
2450.8916015625,5.010944,4.6782
2460.89892578125,5.012196,4.68713
2470.89953613281,5.014484,4.69637
2480.90075683594,5.027131,4.69895
2490.9052734375,5.017674,4.698663
2500.90649414063,5.014836,4.699244
2510.9111328125,5.015551,4.70049
2520.91845703125,5.016341,4.711437
2530.92565917969,5.017563,4.804973
2540.93273925781,5.025396,4.827029
2550.93322753906,5.026362,4.819914
2560.93408203125,5.026892,4.747255
2570.93518066406,5.031633,4.747142
2580.93615722656,5.031295,4.825737
2590.94055175781,5.030653,4.829481
2600.94799804688,5.028589,4.831441
2610.95483398438,5.027678,4.820637
2620.96179199219,5.0278,4.810217
2630.96203613281,5.028695,4.800789
2640.96618652344,5.03064,4.791192
2650.96716308594,5.041089,4.78345
2660.96801757813,5.051537,4.763353
2670.97229003906,5.053296,4.739206
2680.97961425781,4.729155,4.705434
2690.986328125,4.9785,4.740483
2700.99304199219,5.059878,4.764208
2710.9931640625,5.062128,4.788253
2720.99365234375,5.062114,4.771016
2730.99438476563,5.064038,4.75274
2740.9951171875,5.063159,4.906085
2750.99938964844,5.053114,4.736558
2761.00659179688,5.048266,4.742504
2771.01318359375,5.043415,4.745398
2781.01977539063,5.039853,4.752857
2791.01965332031,5.033066,4.765179
2801.02001953125,5.026709,4.781826
2811.02075195313,5.024698,4.802781
2821.02136230469,5.026536,4.801116
2831.02563476563,5.028051,4.782938
2841.03283691406,5.029169,4.773901
2851.03942871094,5.034711,4.821367
2861.0458984375,5.037376,4.835278
2871.04565429688,5.039914,4.781101
2881.04602050781,5.04211,4.79046
2891.05004882813,5.041075,4.785656
2901.05078125,5.039252,4.777267
2911.05480957031,5.038745,4.77851
2921.06213378906,5.038269,4.776053
2931.06860351563,5.037736,4.772615
2941.07507324219,5.037783,4.763817
2951.07458496094,5.038562,4.761396
2961.07470703125,5.043034,4.76128
2971.07531738281,5.044469,4.766365
2981.07580566406,5.045219,4.725305
2991.08337402344,5.045308,4.740004
3001.09045410156,5.045775,4.788812
3011.09680175781,5.047881,4.791859
3021.10302734375,5.050832,4.779033
3031.10241699219,5.067574,4.771428
3041.10241699219,5.076293,4.84927
3051.10290527344,5.082899,4.85432
3061.103515625,5.090782,4.846809
3071.11096191406,5.09446,5.17807
3081.1181640625,5.095436,4.857609
3091.12475585938,5.095148,4.808712
3101.130859375,5.094445,4.799585
3111.13366699219,5.094164,4.787149
3121.13354492188,5.092596,4.777918
3131.13732910156,5.088156,4.775585
3141.13793945313,5.086742,4.785926
3151.14526367188,5.087828,4.787403
3161.15234375,5.166253,4.77531
3171.15881347656,5.181441,4.760639
3181.16467285156,5.174829,4.757005
3191.16723632813,5.165622,4.757002
3201.16687011719,5.159023,4.763138
3211.1669921875,5.14812,4.785707
3221.17077636719,5.139534,4.786962
3231.17797851563,5.139595,4.784422
3241.18505859375,5.141085,4.87216
3251.19128417969,5.153001,4.806811
3261.19714355469,5.149354,4.775228
3271.19958496094,5.147981,4.756523
3281.19909667969,5.153213,4.741979
3291.19909667969,5.159747,5.007727
3301.19934082031,5.162497,4.94538
3311.20654296875,5.164855,4.893563
3321.21337890625,5.167409,4.886015
3331.2197265625,5.175005,5.046136
3341.22546386719,5.175266,4.781727
3351.22766113281,5.174805,4.779374
3361.22680664063,5.173903,4.789312
3371.2265625,5.17367,4.796822
3381.23022460938,5.173753,4.957826
3391.23706054688,5.173492,4.903272
3401.24389648438,5.172823,4.883051
3411.25,5.261866,4.87132
3421.25561523438,5.270672,4.850209
3431.25769042969,5.276544,4.858691
3441.25671386719,5.277426,4.88504
3451.25634765625,5.273015,4.900237
3461.259765625,5.260663,4.889401
3471.2666015625,5.187572,4.885008
3481.27331542969,5.184294,4.884014
3491.279296875,5.186256,4.881557
3501.28479003906,5.189676,4.860147
3511.28674316406,5.193823,4.838709
3521.28564453125,5.198474,4.839627
3531.28503417969,5.204793,4.847676
3541.28845214844,5.213696,4.807078
3551.29516601563,5.469385,5.789773
3561.30187988281,5.15601,4.662771
3681.34155273438,4.993511,4.872621
3741.38220214844,4.999486,5.118854
3751.38366699219,4.992388,4.804719
3761.38195800781,5.003197,4.59713
3771.38098144531,5.026397,4.544194
3781.3837890625,5.04227,4.598665
3791.39038085938,5.04636,5.056037
3801.39697265625,5.046178,5.031856
3811.40283203125,5.04947,4.902413
3821.408203125,5.056873,4.921939
3831.40966796875,5.054505,4.997894
3841.40795898438,5.04892,5.060431
3851.40686035156,5.04987,5.106012
3861.40966796875,5.05463,5.141975
3871.41625976563,5.054327,5.078396
3881.42272949219,5.05448,5.056986
3891.42858886719,5.056156,4.996333
3901.43395996094,5.066927,4.964401
3911.43872070313,5.075047,5.11403
3921.43676757813,5.075818,5.022771
3931.43518066406,5.080109,4.980104
3941.44140625,5.080385,4.97202
3951.45947265625,5.078753,4.973341
3961.46557617188,5.061882,4.975839
3971.47131347656,5.033,5.016027
3981.47644042969,5.004414,4.979338
3991.48095703125,4.988581,4.927983
4001.47839355469,5.006994,5.247836
4011.47668457031,4.978321,5.255117
4021.48254394531,4.972311,5.111682
4031.48876953125,4.972265,5.072724
4041.49487304688,5.146954,5.688295
4051.50048828125,5.229917,5.001579
