13:27:04,AV
13:28:52,CIRCLE/YELLOW,65.958758
13:31:00,STAR/RED,194.1227514,countdown finished
13:33:08,TRIANGLE/BLUE,322.2408762,countdown finished
TLX1,TLX2,TLX3,TLX4,TLX5,TLX6,SUS1,SUS2,SUS3,SUS4,SUS5,SUS6,SUS7,SUS8,SUS9,SUS10
12,10,11,13,13,8,5,2,2,2,4,3,4,3,4,1,
13:35:48,DDDDD
13:37:17,CIRCLE/RED,74.7826643
13:40:12,TRIANGLE/YELLOW,249.1918519,countdown finished
13:41:30,STAR/YELLOW,327.6197947
TLX1,TLX2,TLX3,TLX4,TLX5,TLX6,SUS1,SUS2,SUS3,SUS4,SUS5,SUS6,SUS7,SUS8,SUS9,SUS10
10,11,10,11,11,9,4,3,3,2,4,2,4,3,4,1,
13:43:23,DD
