13:44:14,DD
13:45:16,TRIANGLE/GREEN,56.0396929
13:48:56,SQUARE/RED,275.8935668,countdown finished
13:50:15,STAR/RED,354.5142296
TLX1,TLX2,TLX3,TLX4,TLX5,TLX6,SUS1,SUS2,SUS3,SUS4,SUS5,SUS6,SUS7,SUS8,SUS9,SUS10
10,11,11,11,11,11,3,3,3,3,3,3,3,3,3,3,
13:51:00,DDD
13:52:43,SQUARE/GREEN,96.6851375,countdown finished
13:54:26,SQUARE/BLUE,199.558077,countdown finished
13:56:24,CIRCLE/GREEN,317.687707,countdown finished
TLX1,TLX2,TLX3,TLX4,TLX5,TLX6,SUS1,SUS2,SUS3,SUS4,SUS5,SUS6,SUS7,SUS8,SUS9,SUS10
10,10,10,11,10,9,5,2,4,2,3,2,4,3,4,1,
13:57:44,AV
