18:09:56,AV
18:10:23,TRIANGLE/GREEN,27.0608723
18:10:25,SQUARE/YELLOW,29.8710763
18:10:33,TRIANGLE/GREEN,37.0344633
18:13:32,AV
18:13:35,CIRCLE/BLUE,3.3257684
18:13:38,CIRCLE/BLUE,6.0557364
18:13:41,CIRCLE/BLUE,8.4904157
TLX1,TLX2,TLX3,TLX4,TLX5,TLX6,SUS1,SUS2,SUS3,SUS4,SUS5,SUS6,SUS7,SUS8,SUS9,SUS10
11,11,11,11,11,11,3,3,3,3,3,3,3,3,3,3,
18:14:11,DDDDD
18:16:29,AV
18:16:33,CIRCLE/BLUE,3.6677714
18:16:35,CIRCLE/BLUE,6.3141015
18:24:27,AV
18:24:32,CIRCLE/BLUE,4.2542435
18:27:26,AV
18:27:30,CIRCLE/BLUE,3.7862992
18:48:24,AV
18:48:59,CIRCLE/BLUE,8.4023233
18:49:05,CIRCLE/BLUE,13.8152556
