14:39:07,AV
14:39:39,CIRCLE/YELLOW,27.4850004
14:41:01,CIRCLE/GREEN,109.3135557
14:41:52,TRIANGLE/BLUE,160.2532708
TLX1,TLX2,TLX3,TLX4,TLX5,TLX6,SUS1,SUS2,SUS3,SUS4,SUS5,SUS6,SUS7,SUS8,SUS9,SUS10
5,6,7,8,8,6,5,2,5,2,4,3,5,4,5,2,
14:43:55,DDDDD
