Time,LeftPupilDiameter,RightPupilDiameter
0,5.724277,5.65052
10.0045166015625,5.71933,5.651107
20.009033203125,5.722584,5.651086
30.0103759765625,5.737097,5.651515
40.0146484375,5.73978,5.652525
50.018798828125,5.742157,5.653646
60.02294921875,5.748501,5.654035
70.027099609375,5.735671,5.657519
80.031494140625,5.714055,5.715287
90.035888671875,5.720483,5.691711
100.040161132813,5.769252,5.647565
110.04443359375,5.785676,5.640835
120.0419921875,5.808526,5.648927
130.046142578125,5.815499,5.655711
140.050170898438,5.820602,5.660138
150.05419921875,5.824204,5.662292
160.058349609375,5.826581,5.664843
170.0625,5.829608,5.667836
180.066528320313,5.829979,5.670336
190.070556640625,5.830461,5.673548
200.067138671875,5.831277,5.676429
210.070922851563,5.831375,5.680483
220.074951171875,5.833333,5.684359
230.078735351563,5.836031,5.687789
240.082885742188,5.835647,5.692455
250.086791992188,5.837297,5.695862
260.090942382813,5.838303,5.698509
270.094848632813,5.838089,5.703217
280.098754882813,5.844168,5.70828
290.1025390625,5.843871,5.712508
300.1064453125,5.846705,5.717608
310.110229492188,5.852936,5.72202
320.114013671875,5.854038,5.72715
330.117919921875,5.859967,5.73173
340.121704101563,5.860453,5.737517
350.12890625,5.866538,5.746369
360.132568359375,5.869213,5.754337
370.136474609375,5.885755,5.77409
380.140014648438,6.019845,5.828701
390.143798828125,6.020974,5.810315
400.1474609375,5.975947,5.799139
410.151245117188,5.966502,5.812841
420.154907226563,5.955225,5.824545
430.158569335938,5.946857,5.826986
440.162231445313,5.942262,5.827942
450.165771484375,5.938886,5.828048
460.16943359375,5.937106,5.827728
470.172973632813,5.93435,5.827204
480.176513671875,5.932613,5.825566
490.18017578125,5.932939,5.824508
500.18359375,5.933694,5.82437
510.18701171875,5.934493,5.82434
520.1904296875,5.935706,5.824321
530.193969726563,5.938299,5.824318
540.197387695313,5.939738,5.824576
550.20068359375,5.975389,5.844169
560.204223632813,6.031096,5.923455
570.20751953125,6.072214,6.008356
580.210815429688,6.167705,5.977914
590.214111328125,6.338823,5.930648
600.217651367188,6.247313,5.927534
610.220947265625,6.62603,5.940525
620.224365234375,6.366473,5.961238
630.227783203125,6.299604,6.084013
640.23095703125,5.381083,6.192354
650.234252929688,5.134434,6.145171
660.237426757813,5.085598,6.348342
680.247436523438,4.596869,5.702396
690.250732421875,5.530799,5.855731
700.254150390625,4.704625,5.505153
710.257446289063,6.324383,5.527959
720.260620117188,6.849827,5.437649
730.263793945313,6.55444,6.394643
740.266845703125,6.483187,6.448964
750.2734375,6.422367,6.271204
760.276733398438,6.370238,6.080699
770.279907226563,6.359216,6.018388
780.283081054688,6.348217,5.993204
790.286254882813,6.31094,5.965034
800.289306640625,6.302166,5.958966
810.292236328125,6.292089,5.953871
820.295166015625,6.28143,5.950939
830.301513671875,6.275329,5.941232
840.304565429688,6.271253,5.938078
850.307495117188,6.268311,5.915048
860.310546875,6.262428,5.915238
870.313598632813,6.259085,5.909632
880.316528320313,6.248223,5.901845
890.3193359375,6.231452,5.895064
900.322143554688,6.21859,5.88458
910.328369140625,6.210119,5.840116
920.331420898438,6.196787,5.832805
930.334350585938,6.188451,5.817414
940.33740234375,6.184013,5.80942
950.34033203125,6.18222,5.802593
960.34326171875,6.181621,5.758864
970.34619140625,6.173293,5.718748
980.3486328125,6.158919,5.674582
990.354858398438,6.13813,5.684271
1000.35766601563,6.142914,5.6889
1010.36401367188,6.148148,5.685558
1020.36694335938,6.152951,5.676017
1030.36999511719,6.153722,5.663566
1040.37292480469,6.155397,5.657413
1050.37561035156,6.156,5.65456
1060.37817382813,6.156009,5.652591
1070.38415527344,6.157725,5.650327
1080.38684082031,6.159817,5.64919
1090.38977050781,6.162875,5.649096
1100.39270019531,6.165186,5.648381
1110.3955078125,6.166872,5.64737
1120.3984375,6.167416,5.646144
1130.40100097656,6.168108,5.645291
1140.40344238281,6.168828,5.644157
1150.41271972656,6.170067,5.642074
1160.41870117188,6.17084,5.640134
1170.42138671875,6.171461,5.639467
1180.42407226563,6.175412,5.638577
1190.4267578125,6.177561,5.638401
1200.42944335938,6.181118,5.639163
1210.43176269531,6.182704,5.640322
1220.43395996094,6.183524,5.641563
1230.44299316406,6.184549,5.642413
1240.4453125,6.186193,5.645462
1250.45129394531,6.189108,5.650687
1260.45385742188,6.219636,5.703144
1270.45642089844,6.182882,5.756154
1280.458984375,6.166597,5.753407
1290.46130371094,6.168975,5.764809
1300.46337890625,6.177663,5.764367
1310.47229003906,6.182682,5.762231
1320.47448730469,6.188962,5.759743
1330.47717285156,6.195541,5.758014
1340.47973632813,6.20282,5.757648
1350.48217773438,6.206545,5.761405
1360.48474121094,6.209595,5.763229
1370.48706054688,6.218057,5.763797
1380.48901367188,6.222816,5.77243
1390.49780273438,6.227135,5.778084
1400.49987792969,6.229399,5.784519
1410.50244140625,6.233889,5.787104
1420.50500488281,6.238932,5.788097
1430.50756835938,6.243433,5.786727
1440.51000976563,6.247301,5.785029
1450.51232910156,6.250433,5.784698
1460.51416015625,6.256516,5.784696
1470.52294921875,6.263067,5.785556
1480.5283203125,6.267201,5.786446
1490.53076171875,6.268989,5.785727
1500.53308105469,6.270698,5.785687
1510.53564453125,6.272617,5.784052
1520.5380859375,6.275007,5.782449
1530.54028320313,6.277241,5.781827
1540.54541015625,6.278941,5.781899
1550.55395507813,6.279971,5.782523
1560.55920410156,6.280799,5.791784
1570.56140136719,6.282333,5.792756
1580.56384277344,6.283992,5.792719
1590.56628417969,6.286173,5.792822
1600.56872558594,6.287944,5.792377
1610.57092285156,6.289964,5.792311
1620.576171875,6.301104,5.788491
1630.58459472656,6.301992,5.770042
1640.58972167969,6.30669,5.734339
1650.59191894531,6.294997,5.700824
1660.59423828125,6.300478,5.699124
1670.59655761719,6.309677,5.716989
1680.59875488281,6.316391,5.725473
1690.60083007813,6.320041,5.738437
1700.60583496094,6.337834,5.741596
1710.61401367188,6.341454,5.743351
1720.61889648438,6.343938,5.745294
1730.62414550781,6.34603,5.749967
1740.62634277344,6.33194,5.750929
1750.62841796875,6.330075,5.75088
1760.63037109375,6.329177,5.750504
1770.63232421875,6.328937,5.750483
1780.63720703125,6.329781,5.750045
1790.64526367188,6.337711,5.749727
1800.65002441406,6.342988,5.749557
1810.65161132813,6.348944,5.750533
1820.6572265625,6.349962,5.753983
1830.6591796875,6.352157,5.758171
1840.66125488281,6.353493,5.760495
1850.66320800781,6.35078,5.757737
1860.66796875,6.353215,5.755914
1870.67602539063,6.34903,5.754566
1880.68041992188,6.347741,5.753808
1890.68212890625,6.347518,5.751137
1900.68408203125,6.370286,5.748703
1910.68591308594,6.331433,5.734295
1920.68786621094,6.312179,5.735102
1930.68969726563,6.30896,5.736683
1940.69775390625,6.314294,5.737429
1950.70556640625,6.320811,5.729681
1960.7099609375,6.326798,5.726639
1970.71130371094,6.330571,5.724755
1980.71313476563,6.335162,5.724213
1990.71508789063,6.337935,5.723546
2000.716796875,6.338223,5.722928
2010.71862792969,6.338722,5.723856
2020.72668457031,6.33904,5.726186
2030.734375,6.341401,5.728
2040.73852539063,6.348787,5.728005
2050.73986816406,6.354969,5.727896
2060.74169921875,6.360599,5.72748
2070.74340820313,6.366264,5.726466
2080.74523925781,6.368638,5.727575
2090.74694824219,6.370666,5.728438
2100.75500488281,6.37106,5.729316
2110.76257324219,6.371262,5.732933
2120.7666015625,6.372096,5.735028
2130.767578125,6.374372,5.735862
2140.76928710938,6.377593,5.736787
2150.77099609375,6.380001,5.738155
2160.77270507813,6.380495,5.749799
2170.77429199219,6.455658,5.753205
2180.7822265625,6.42935,5.770445
2190.78967285156,6.389261,5.795345
2200.79357910156,6.364883,5.811171
2210.79455566406,6.339713,5.821224
2220.7958984375,6.345342,5.823329
2230.79760742188,6.353197,5.824743
2240.79919433594,6.353402,5.825844
2250.80090332031,6.35115,5.827929
2260.80883789063,6.342899,5.828286
2270.81628417969,6.337867,5.818364
2280.82006835938,6.337662,5.815289
2290.82104492188,6.337503,5.811428
2300.82592773438,6.332423,5.792576
2310.82739257813,6.328433,5.784317
2320.82897949219,6.321525,5.780653
2330.83032226563,6.31424,5.777912
2340.83825683594,6.309923,5.77676
2350.84545898438,6.307626,5.780878
2360.84899902344,6.310479,5.782753
2370.84973144531,6.311196,5.78249
2380.85070800781,6.311738,5.777836
2390.85559082031,6.309632,5.772136
2400.85693359375,6.307366,5.771237
2410.86169433594,6.30623,5.772474
2420.86938476563,6.303693,5.770238
2430.87646484375,6.301093,5.767455
2440.8798828125,6.299723,5.764907
2450.88037109375,6.302541,5.762866
2460.88134765625,6.30314,5.76424
2470.88269042969,6.301041,5.763774
2480.88415527344,6.295781,5.808649
2490.88879394531,6.579716,5.802724
2500.89636230469,6.160099,5.808367
2510.90356445313,6.314512,5.748714
2520.90686035156,6.328806,5.756432
2530.90710449219,6.332454,5.761904
2540.90808105469,6.328198,5.763991
2550.90930175781,6.323325,5.765853
2560.91076660156,6.318189,5.762051
2570.91552734375,6.317184,5.754543
2580.92321777344,6.315815,5.751461
2590.93017578125,6.309629,5.747209
2600.93701171875,6.306454,5.74094
2610.93725585938,6.305057,5.739704
2620.93798828125,6.303534,5.739382
2630.93920898438,6.305069,5.739407
2640.9404296875,6.304609,5.740076
2650.94506835938,6.304759,5.740202
2660.95275878906,6.304562,5.740081
2670.95959472656,6.304465,5.739699
2680.96618652344,6.304628,5.738661
2690.96618652344,6.304884,5.736846
2700.96667480469,6.305571,5.733332
2710.96765136719,6.306694,5.729846
2720.96887207031,6.306941,5.728293
2730.97338867188,6.307652,5.728018
2740.98083496094,6.308374,5.72589
2750.98779296875,6.30889,5.723916
2760.994140625,6.309063,5.72234
2770.99401855469,6.308617,5.719145
2780.99438476563,6.307219,5.717905
2790.99523925781,6.305198,5.719518
2800.99633789063,6.290804,5.711635
