14:27:57,DD
14:29:07,DD
14:30:05,TRIANGLE/GREEN,53.4128735
14:30:39,SQUARE/RED,87.5570758
14:31:44,STAR/RED,152.2332432
TLX1,TLX2,TLX3,TLX4,TLX5,TLX6,SUS1,SUS2,SUS3,SUS4,SUS5,SUS6,SUS7,SUS8,SUS9,SUS10
6,5,5,6,7,7,5,1,5,2,3,2,4,4,4,1,
14:33:45,DDD
14:34:38,SQUARE/GREEN,46.2205354
14:35:19,SQUARE/BLUE,87.2255697
14:36:03,CIRCLE/GREEN,131.4105926
TLX1,TLX2,TLX3,TLX4,TLX5,TLX6,SUS1,SUS2,SUS3,SUS4,SUS5,SUS6,SUS7,SUS8,SUS9,SUS10
7,5,6,5,8,7,5,1,5,1,3,2,5,5,5,1,
14:37:57,AV
