0,15:30:33,DDDDD
0,15:58:28,DDDDD
0,15:59:04,SQUARE/BLUE,35.6882817
0,15:59:08,CIRCLE/BLUE,39.4861971
0,15:59:11,CIRCLE/BLUE,43.2563009
TLX1,TLX2,TLX3,TLX4,TLX5,TLX6,SUS1,SUS2,SUS3,SUS4,SUS5,SUS6,SUS7,SUS8,SUS9,SUS10
11,11,11,11,11,11,3,3,3,3,3,3,3,3,3,3,
0,15:59:28,DD
0,16:20:31,DDDDD
0,16:20:38,SQUARE/YELLOW,7.3833777
0,16:20:42,TRIANGLE/YELLOW,10.8098063
0,16:20:44,CIRCLE/BLUE,12.9747687
